merchant,time,amount_usd_in_cents
d087d4c321,2034-12-11 22:16:41,5059
fe1cb2e840,2034-08-13 21:11:59,12743
878047f4b9,2033-06-05 21:15:00,7601
3932608d23,2034-04-28 19:55:01,5790
84a09b4188,2034-07-26 04:37:05,6153
ce54c1ba8f,2034-02-24 23:31:25,16030
c7ba9d4168,2033-12-17 08:49:27,8778
8d9f148cda,2033-02-26 00:33:00,6500
2cc274e632,2033-08-15 15:38:57,4880
1ddaea9838,2034-04-10 17:12:17,2437
1a667a2adf,2033-09-20 19:46:35,19574
85cb311dcc,2034-08-26 23:23:11,2335
53b3fbeae2,2034-07-31 17:17:16,1512
9843e52410,2033-03-29 03:08:51,3522
642ddfac5f,2034-04-12 17:52:18,2397
7cc864c4a4,2033-08-24 02:42:47,6126
727f440092,2033-10-31 01:19:13,5226
8c182909bd,2034-12-25 19:17:18,12526
62970d7c2e,2034-11-18 00:38:19,4657
b919ddecd3,2034-05-15 21:45:10,9771
ba672b3bcf,2034-12-16 20:17:02,20066
0f3f5de835,2034-03-30 18:17:41,3560
4647d230cc,2034-05-07 05:36:00,13920
ffb94e1865,2034-08-05 16:53:29,4381
34042a00ee,2034-11-12 18:45:06,27377
f65da4a25a,2034-09-08 15:35:39,4865
95adfbb3f6,2033-06-17 18:11:12,34774
290765181e,2033-01-08 17:27:11,4750
44ee3ec72c,2034-10-21 02:59:27,49615
ff86f631bd,2034-07-10 04:45:46,4108
9b4a0d4769,2034-12-01 21:41:32,966918
5fec235931,2034-08-29 16:01:31,6216
bd4ee94f64,2034-09-06 04:33:57,14176
a03a7df510,2033-07-14 00:02:16,8026
d52223d7fc,2034-09-25 22:27:31,3283
29343d5bb3,2033-09-29 16:56:21,3217
8dce239d00,2034-10-24 07:57:31,5682
dfb1f143d8,2034-03-13 19:24:31,809
681836a496,2034-06-25 15:58:36,5997
727f440092,2034-06-27 19:50:36,5887
1ddaea9838,2033-05-13 18:08:15,1111
6f4c651e94,2034-07-15 03:07:16,4606
ae01cd2306,2033-03-08 02:56:44,39457
73b906f732,2034-03-08 22:56:30,45722
633397fec6,2034-12-09 19:02:54,3309
727f440092,2034-02-01 22:19:40,9013
a11809a647,2034-12-23 19:45:38,7038
2577b37ba1,2034-07-05 07:29:10,12556
e4c027a857,2034-05-01 02:26:06,33782
5c8ccd1d30,2033-12-16 17:45:36,2412
89e2d29885,2033-03-04 20:44:17,248
aff06c8624,2034-01-06 04:20:21,247583
3c3188c35e,2034-11-09 18:09:09,16041
ee0e287095,2034-11-26 01:29:40,3705
