parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12833975,,,,3,4,,6,3,,,1812,1812,,,,,6037,,3,,,,2,33999334,-117955651,5419,,,,,,0100,261,LCR106,60374086.31,45602,3101,,96489,0,,,,1,,,1955,,,155403,304592,2016,149189,3708.29,,,6.03741E+13
11070096,1,,,4,4,,7,4,,,3134,3134,,,,,6037,,4,,,,2,34283974,-118583756,,,,,,,010D,269,LARE,60371082.02,12447,3101,275078,96356,0,,,,1,,,2012,,,493070,821783,2016,328713,10087.59,,,6.03711E+13
12752672,1,,,2,3,,6,2,,,1817,1817,,,,,6037,,2,,,,2,33899765,-117989887,5953,,,,,,0100,261,LMR1*,60375038.01,5465,3101,,96190,0,,,,1,,,1957,,,126695,247962,2016,121267,3377.86,,,6.0375E+13
11338563,,,,3,4,,7,3,,,2280,2280,,,,,6037,,3,,,,,34674776,-118418589,856438,,,,,,0700,263,LCRA10000-,60379201.02,25468,3101,,97316,0,,,,1,,,2006,,,130500,308900,2016,178400,3578.92,,,6.03792E+13
17098704,,,,0,3,,,,,1200,1200,1200,,,1200,,6111,,,2,400,,,34364318,-119055992,6750,,,,,,1110,261,,61110004,26965,2061,,97113,5,,,,,,,1987,1,,142271,223101,2016,80830,2564.86,,,6.111E+13
12805526,,,,1,3,,4,1,,,1051,1051,,,,,6037,,1,,,,7,33979853,-118074383,7081,,,,,,0100,261,LCRAYY,60375022,396556,3101,,96174,0,,,,1,,,1954,,,66169,321014,2016,254845,4056.41,,,6.0375E+13
12714396,,,,3,4,,7,3,,,2600,2600,,,,,6037,,3,,,,2,33755318,-118402835,9813,,,,,,0100,261,RPRAIA,60376704.16,54053,3101,,96122,0,,,,1,,,1974,,,126681,198946,2016,72265,2517.57,,,6.03767E+13
12710519,,,,2,2,,7,2,,,1068,1068,,,,,6037,,2,,,,7,33763500,-118394000,167188,1,,,,1,010C,266,RPRM3600*,60376704.13,54053,3101,,96122,0,,,,1,,,1973,,,154540,247633,2016,93093,3284.4,,,6.03767E+13
12241268,,,,2,4,,5,2,,,1728,,,1728,,,6037,,2,,,,7,33927094,-118274974,6477,,,,,,0200,246,LAR2,60372414,12447,3101,268496,96042,0,,,,2,,,1940,,,121830,366505,2016,244675,4809.61,,,6.03724E+13
11284282,1,,,2,3,,6,2,,,1122,1122,,,,,6037,,2,,,,2,34677200,-118167000,95557,1,,,,1,010C,266,LRR320U*,60379010.09,5534,3101,,97319,0,,,,1,,,1973,,,41433,48516,2016,7083,1237.31,,,6.0379E+13
11281038,1,,,2,4,,8,2,,,1981,1981,,,,,6037,,2,,,,2,34687802,-118175716,9128,,,,,,0100,261,LRRA 7000,60379010.09,5534,3101,,97319,0,,,,1,,,1988,,,170088,198690,2016,28602,3240.53,Y,14,6.0379E+13
12902386,,,,2,3,,6,2,,,1156,1156,,,,,6037,,2,,,,2,34109688,-117832213,7814,,,,,,0100,261,SDRA71/2,60374012.02,33836,3101,,96513,0,,,,1,,,1962,,,111881,272386,2016,160505,3522.57,,,6.0374E+13
14380565,,,,3,4,,,3,,,2290,2290,,,,,6059,1,3,2,462,TRUE,,33614940,-117683594,7006,,,1,,,122,261,,60590320.15,12773,1286,,96995,8,,,,,,,1976,2,,161036,509298,2016,348262,5194.28,,,6.05903E+13
14362375,,,,3,5,,,3,,,2484,2484,,,,,6059,,3,2,614,TRUE,,33690888,-117665063,5512,1,,,1,,122,261,,60590524.26,32380,1286,,96946,0,,,,,,,1994,,,316773,423235,2016,106462,5350.84,,,6.05905E+13
11958092,,,,2,2,,4,2,,,1602,,,1602,,,6037,,2,,,,,34101051,-118227209,4258,,,,,,0200,246,LAR1,60371852.04,12447,3101,116774,96046,0,,,,2,,,1955,,,140104,558387,2016,418283,6796.77,,,6.03719E+13
12063788,1,,,3,3,,8,3,,,1371,1371,,,,,6037,,3,,,,2,34151000,-118271000,10093,,,,,,010C,266,GLR4*,60373017.02,45457,3101,275884,96322,0,,,,1,,,1983,,,180677,387088,2016,206411,4207.04,,,6.0373E+13
12302857,,,,4,5,,4,4,,,2272,,,2272,,,6037,,4,,,,,33940802,-118220056,4646,,,,,,0400,248,SGR3YY,60375356.07,47762,3101,,96125,0,,,,4,,,1948,,,231888,412829,2016,180941,5533.35,,,6.03754E+13
14201660,1,,,2.5,4,,,2.5,,,2219,2219,,,,,6059,1,2,2,595,,6,33876545,-117725141,10000,,,,,,122,261,,60590218.27,21412,1286,,97079,8,,1,,,,,1987,,,280465,786000,2016,505535,9181.8,,,6.05902E+13
12983331,,,,2,2,,5,2,,,1419,1419,,,,,6037,,2,,,,7,34077707,-118013128,6568,,,,,,0100,261,EMR1BY,60374326.01,51861,3101,762685,96479,0,,,,1,,,1947,,,111206,298514,2016,187308,4625.26,,,6.03743E+13
12092959,,,,1,2,,5,1,,,996,996,,,,,6037,,1,,,,7,34134567,-118259651,6386,,,,,,0100,261,GLR4YY,60373024.01,45457,3101,274940,96323,0,,,,1,,,1920,,,17658,488652,2016,470994,5383.05,,,6.0373E+13
11845060,1,,,3,4,,7,3,,,1949,1949,,,,,6037,,3,,,,2,34058692,-118113004,27147,,,,,,010D,269,MPR3*,60374822.02,6021,3101,,96497,0,,,,1,,,2001,,,227488,631130,2016,403642,8129.01,,,6.03748E+13
12251948,,,,1,2,,4,1,,,904,904,,,,,6037,,1,,,,7,33913957,-118294177,5980,,,,,,0100,261,GAR1,60376029,45398,3101,,96104,0,,,,1,,,1950,,,82380,298239,2016,215859,3787.23,,,6.0376E+13
13034140,,,,2,3,,6,2,,,1716,1716,,,,,6037,,2,,,,2,34122867,-117869315,6823,,,,,,0100,261,GDR1,60374039.01,11626,3101,,96485,0,,,,1,,,1959,,,134999,205322,2016,70323,2636.72,,,6.0374E+13
12864305,1,,,2,4,,8,2,,,1883,1883,,,,,6037,,2,,,,2,34111356,-117732076,11490,,,,,,0100,261,CLRS10000*,60374018,30908,3101,764147,96469,0,,,,1,,,1963,,,167772,269709,2016,101937,3607.19,,,6.0374E+13
14140160,,,,4,5,,,4,,,2996,,,,,2996,6059,2,4,0,0,,,33888984,-117907145,35061,1,,,,1,122,261,,60590016.02,24812,1286,,97039,7,,,,,,,1948,2,,713525,1316016,2016,602491,14526.38,,,6.059E+13
11286799,1,,,1,2,,6,1,,,1327,1327,,,,,6037,,1,,,,2,34695510,-118142928,8850,,,,,,0100,261,LRR2*,60379008.06,5534,3101,,97317,0,,,,1,,,1948,,,137261,171576,2016,34315,2813.89,,,6.0379E+13
11058029,,,,2,3,,6,2,,,1375,1375,,,,,6037,,2,,,,2,34274906,-118499547,7634,,,,,,0100,261,LARS,60371112.01,12447,3101,31817,96370,0,,,,1,,,1958,,,157160,502548,2016,345388,6124.8,,,6.03711E+13
