parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12833975,,,,3.0,4.0,,6.0,3.0,,,1812.0,1812.0,,,,,6037.0,,3.0,,,,2.0,33999334.0,-117955651.0,5419.0,,,,,,0100,261.0,LCR106,60374086.311002,45602.0,3101.0,,96489.0,0.0,,,,1.0,,,1955.0,,,155403.0,304592.0,2016.0,149189.0,3708.29,,,60374086311002.0
11070096,1.0,,,4.0,4.0,,7.0,4.0,,,3134.0,3134.0,,,,,6037.0,,4.0,,,,2.0,34283974.0,-118583756.0,,,,,,,010D,269.0,LARE,60371082.021002,12447.0,3101.0,275078.0,96356.0,0.0,,,,1.0,,,2012.0,,,493070.0,821783.0,2016.0,328713.0,10087.59,,,60371082021002.0
12752672,1.0,,,2.0,3.0,,6.0,2.0,,,1817.0,1817.0,,,,,6037.0,,2.0,,,,2.0,33899765.0,-117989887.0,5953.0,,,,,,0100,261.0,LMR1*,60375038.011001,5465.0,3101.0,,96190.0,0.0,,,,1.0,,,1957.0,,,126695.0,247962.0,2016.0,121267.0,3377.86,,,60375038011001.0
11338563,,,,3.0,4.0,,7.0,3.0,,,2280.0,2280.0,,,,,6037.0,,3.0,,,,,34674776.0,-118418589.0,856438.0,,,,,,0700,263.0,LCRA10000-,60379201.022009,25468.0,3101.0,,97316.0,0.0,,,,1.0,,,2006.0,,,130500.0,308900.0,2016.0,178400.0,3578.92,,,60379201022009.0
17098704,,,,0.0,3.0,,,,,1200.0,1200.0,1200.0,,,1200.0,,6111.0,,,2.0,400.0,,,34364318.0,-119055992.0,6750.0,,,,,,1110,261.0,,61110004.003032,26965.0,2061.0,,97113.0,5.0,,,,,,,1987.0,1.0,,142271.0,223101.0,2016.0,80830.0,2564.86,,,61110004003032.0
12805526,,,,1.0,3.0,,4.0,1.0,,,1051.0,1051.0,,,,,6037.0,,1.0,,,,7.0,33979853.0,-118074383.0,7081.0,,,,,,0100,261.0,LCRAYY,60375022.001028,396556.0,3101.0,,96174.0,0.0,,,,1.0,,,1954.0,,,66169.0,321014.0,2016.0,254845.0,4056.41,,,60375022001028.0
12714396,,,,3.0,4.0,,7.0,3.0,,,2600.0,2600.0,,,,,6037.0,,3.0,,,,2.0,33755318.0,-118402835.0,9813.0,,,,,,0100,261.0,RPRAIA,60376704.162003,54053.0,3101.0,,96122.0,0.0,,,,1.0,,,1974.0,,,126681.0,198946.0,2016.0,72265.0,2517.57,,,60376704162003.0
12710519,,,,2.0,2.0,,7.0,2.0,,,1068.0,1068.0,,,,,6037.0,,2.0,,,,7.0,33763500.0,-118394000.0,167188.0,1.0,,,,1.0,010C,266.0,RPRM3600*,60376704.132022,54053.0,3101.0,,96122.0,0.0,,,,1.0,,,1973.0,,,154540.0,247633.0,2016.0,93093.0,3284.4,,,60376704132022.0
12241268,,,,2.0,4.0,,5.0,2.0,,,1728.0,,,1728.0,,,6037.0,,2.0,,,,7.0,33927094.0,-118274974.0,6477.0,,,,,,0200,246.0,LAR2,60372414.002008,12447.0,3101.0,268496.0,96042.0,0.0,,,,2.0,,,1940.0,,,121830.0,366505.0,2016.0,244675.0,4809.61,,,60372414002008.0
11284282,1.0,,,2.0,3.0,,6.0,2.0,,,1122.0,1122.0,,,,,6037.0,,2.0,,,,2.0,34677200.0,-118167000.0,95557.0,1.0,,,,1.0,010C,266.0,LRR320U*,60379010.091027,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,1973.0,,,41433.0,48516.0,2016.0,7083.0,1237.31,,,60379010091027.0
11281038,1.0,,,2.0,4.0,,8.0,2.0,,,1981.0,1981.0,,,,,6037.0,,2.0,,,,2.0,34687802.0,-118175716.0,9128.0,,,,,,0100,261.0,LRRA 7000,60379010.09301,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,1988.0,,,170088.0,198690.0,2016.0,28602.0,3240.53,Y,14.0,60379010093010.0
12902386,,,,2.0,3.0,,6.0,2.0,,,1156.0,1156.0,,,,,6037.0,,2.0,,,,2.0,34109688.0,-117832213.0,7814.0,,,,,,0100,261.0,SDRA71/2,60374012.021027,33836.0,3101.0,,96513.0,0.0,,,,1.0,,,1962.0,,,111881.0,272386.0,2016.0,160505.0,3522.57,,,60374012021027.0
